Feelings	Functions	Attributes	Number
Serenity, Joy, Ecstasy, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 76.14671, Y Length = 52.060186, Height = 80.822638, Number of Points = 91.330138, Distribution Seed = 73.931736, Mesh Relaxation = 0.842409, Smooth Level = 1, 	1
Serenity, Joy, Grief, Loathing, Trust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 43.257463, Y Length = 62.707599, Height = 63.666212, Number of Points = 19.818484, Distribution Seed = 80.720167, Mesh Relaxation = 0.477806, Smooth Level = 1, 	2
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 25.08389, Y Length = 32.376414, Height = 99.881142, Number of Points = 11.554789, Distribution Seed = 27.44024, Mesh Relaxation = 0.467576, Smooth Level = 1, 	3
Pensiveness, Joy, Grief, Admiration, Disgust, Boredom, Terror, Fear, Apprehension, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 23.163816, Y Length = 74.690582, Height = 63.159363, Number of Points = 63.24982, Distribution Seed = 85.860627, Mesh Relaxation = 0.458287, Smooth Level = 1, 	4
Pensiveness, Joy, Grief, Loathing, Trust, Boredom, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 15.996195, Y Length = 13.173145, Height = 22.095829, Number of Points = 73.815317, Distribution Seed = 29.952648, Mesh Relaxation = 0.511811, Smooth Level = 1, 	5
Pensiveness, Joy, Ecstasy, Admiration, Trust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 26.173363, Y Length = 96.835865, Height = 31.459283, Number of Points = 26.665369, Distribution Seed = 7.463591, Mesh Relaxation = 0.105871, Smooth Level = 2, 	6
Pensiveness, Joy, Ecstasy, Admiration, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 17.643264, Y Length = 34.803875, Height = 74.817507, Number of Points = 90.591674, Distribution Seed = 52.483672, Mesh Relaxation = 0.983152, Smooth Level = 2, 	7
Pensiveness, Joy, Grief, Loathing, Disgust, Boredom, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 19.842155, Y Length = 50.73704, Height = 74.157275, Number of Points = 87.189031, Distribution Seed = 64.726819, Mesh Relaxation = 0.717476, Smooth Level = 1, 	8
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Apprehension, Vigilance, Anticipation, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 56.977327, Y Length = 13.256448, Height = 34.627105, Number of Points = 90.784099, Distribution Seed = 49.589501, Mesh Relaxation = 0.481016, Smooth Level = 1, 	9
Serenity, Joy, Ecstasy, Loathing, Disgust, Acceptance, Terror, Fear, Annoyance, Vigilance, Surprise, Distraction, 	Habitation,  Vertical Circulation, Facilities, Work,  Gathering Nodes, Meditation and Reading, Arts Space,  	X LENGTH = 36.97189, Y Length = 51.532497, Height = 33.352949, Number of Points = 51.134135, Distribution Seed = 66.377434, Mesh Relaxation = 0.061444, Smooth Level = 1, 	10
